,time,code,IM_PQ,EX_PQ,IM_Q,EX_Q,IM_P,EX_P,year,gdp,population,lgdp,lpopu,lexp,limp,lexq,limq
254,01-2019,03,1467620796.0,1336738159.0,364423274.0,309379949.0,4.027242222734654,3.668092172949415,2019,87945574337517.8,7742724795,32.107739265635864,22.770019503293934,1.299671683017809,1.3930818297337664,19.550080687926958,19.71382659068483
255,01-2020,03,1376056249.0,1083561540.0,313367683.0,243520110.0,4.391187488851554,3.4577960612486005,2020,85577718250195.5,7821271846,32.08044606437664,22.78011301843261,1.2406314095961553,1.4795996891083727,19.31071008434577,19.5628877651474
256,01-2021,03,1022121745.0,1009475594.0,237730407.0,209313332.0,4.299499411532998,4.246304066606002,2021,97527032881901.1,7888963821,32.21115071583,22.788730635043017,1.4460489732007626,1.4584986000000986,19.159342883428682,19.28664784589924
257,01-2022,03,1624730978.0,1215588106.0,343365109.0,221146683.0,4.731788220217798,3.5402202324523313,2022,101225059591363.0,7951595433,32.24836746654863,22.796638428874658,1.264188937767718,1.5543031903001163,19.21433676329658,19.65430489672275
258,01-2023,03,1306781082.0,963764493.0,249703314.0,187442912.0,5.233334956860044,3.859638374683325,2023,105435039507024.0,8024997028,32.289116139929476,22.805827135619744,1.3505734937727956,1.6550487339141384,19.048984887681208,19.33578402708824
259,02-2017,03,472504715.0,557221968.0,197142742.0,148579859.0,2.3967644469508294,2.8264898943122136,2017,81550955754739.3,7577110140,32.03224916478881,22.748397715886078,1.039035621790611,0.8741196806821926,18.816633142703772,19.09943860300207
260,02-2018,03,688967672.0,845003815.0,169963593.0,199908140.0,4.053619130068638,4.971675404626213,2018,86686870786621.5,7661177849,32.0933235555677,22.759431575066092,1.6037568868484247,1.3996100944472505,19.113368519001757,18.951094813255732
261,02-2019,03,855868547.0,531221033.0,203057713.0,150022158.0,4.214902917772939,2.616108618341427,2019,87945574337517.8,7742724795,32.107739265635864,22.770019503293934,0.9616879535057056,1.43862655863173,18.826293561151004,19.129000797092946
262,02-2020,03,804892357.0,365272204.0,291031148.0,87083567.0,2.7656570869864416,1.2550965988011702,2020,85577718250195.5,7821271846,32.08044606437664,22.78011301843261,0.22721254077793065,1.0172782512210474,18.282378755825174,19.488940857208316
263,02-2021,03,696452689.0,542849473.0,136256017.0,120190644.0,5.11135364392752,3.9840403745252586,2021,97527032881901.1,7888963821,32.21115071583,22.788730635043017,1.382296473838988,1.6314642700998372,18.604589740097495,18.73004615200043
264,02-2022,03,1108596608.0,537654750.0,229232994.0,108807003.0,4.836112763069351,2.3454509781432247,2022,101225059591363.0,7951595433,32.24836746654863,22.796638428874658,0.8524776981813574,1.5761112499061234,18.50508625612355,19.25024948532422
265,02-2023,03,1312578521.0,676301389.0,300783143.0,149139939.0,4.363869955970238,2.248468389067934,2023,105435039507024.0,8024997028,32.289116139929476,22.805827135619744,0.81024926845421,1.4733592682532697,18.82039561106817,19.52190010791112
266,03-2017,03,642580656.0,1093516864.0,268329127.0,272271741.0,2.3947480587897565,4.075282009917619,2017,81550955754739.3,7577110140,32.03224916478881,22.748397715886078,1.4049399491860375,0.8732780306697229,19.422311173338276,19.407724870815464
267,03-2018,03,849649407.0,776065584.0,264698814.0,190207282.0,3.2098723608183604,2.931881606390575,2018,86686870786621.5,7661177849,32.0933235555677,22.759431575066092,1.0756444033968997,1.1662311733664217,19.063624993357394,19.39410318664328
268,03-2019,03,1116503190.0,1027490913.0,350201321.0,251170749.0,3.1881752667631997,2.93400067728471,2019,87945574337517.8,7742724795,32.107739265635864,22.770019503293934,1.0763669105608145,1.1594487364441397,19.341643540714372,19.674018749939123
269,03-2020,03,1028402555.0,846788438.0,371078986.0,193355655.0,2.771384513269097,2.2819627894531327,2020,85577718250195.5,7821271846,32.08044606437664,22.78011301843261,0.8250359451952519,1.019347019613569,19.080041823068548,19.731925498181205
270,03-2021,03,902190116.0,788082039.0,224204092.0,172493954.0,4.023968108485727,3.515020765098257,2021,97527032881901.1,7888963821,32.21115071583,22.788730635043017,1.2570454328122502,1.3922685074394239,18.965872744546086,19.22806731999688
271,03-2022,03,1185052794.0,887636954.0,284023477.0,160223287.0,4.172376194098913,3.1252238842213735,2022,101225059591363.0,7951595433,32.24836746654863,22.796638428874658,1.1395059235729708,1.4284857042379993,18.892078944081934,19.464567458201834
272,03-2023,03,1774469689.0,944603662.0,446095329.0,188585393.0,3.9777813701340055,2.1174928330173124,2023,105435039507024.0,8024997028,32.289116139929476,22.805827135619744,0.7502327628948084,1.3807242191763416,19.05506147553541,19.916043229297205
273,04-2017,03,589123534.0,1065739726.0,268960409.0,250407623.0,2.1903726878999503,3.9624409033375616,2017,81550955754739.3,7577110140,32.03224916478881,22.748397715886078,1.376860225107973,0.7840717064731904,19.338600640017564,19.410074748295642
274,04-2018,03,1005616541.0,1046142055.0,333378648.0,234647503.0,3.01643955614098,3.137999572786077,2018,86686870786621.5,7661177849,32.0933235555677,22.759431575066092,1.1435855181687273,1.104077180952514,19.2735949587673,19.624789483038754
275,04-2019,03,1301633280.0,1038993417.0,421918563.0,243235780.0,3.0850343979769383,2.4625449271830213,2019,87945574337517.8,7742724795,32.107739265635864,22.770019503293934,0.9011953384390057,1.1265628073687515,19.309541818945476,19.86032287470452
276,04-2020,03,1134399500.0,851932443.0,436645803.0,198329777.0,2.597985580546162,1.9510835490613887,2020,85577718250195.5,7821271846,32.08044606437664,22.78011301843261,0.6683848844356944,0.9547363680198266,19.105441743588592,19.894632904960577
277,04-2021,03,1069533919.0,877186787.0,285861765.0,183154605.0,3.741437470659988,3.068569827797712,2021,97527032881901.1,7888963821,32.21115071583,22.788730635043017,1.1212115989178022,1.3194698880265765,19.025841190198154,19.471018912777264
278,04-2022,03,1185623292.0,968039609.0,299402275.0,175472439.0,3.959967545336788,3.2332406592434877,2022,101225059591363.0,7951595433,32.24836746654863,22.796638428874658,1.173484934340819,1.3762358296107817,18.98299254580265,19.51729862845133
279,04-2023,03,1748912482.0,875323097.0,480216004.0,176137193.0,3.6419287725362857,1.8227695239411472,2023,105435039507024.0,8024997028,32.289116139929476,22.805827135619744,0.6003570609026389,1.2925134238753697,18.98677375502748,19.98974656897616
280,05-2017,03,665645272.0,1120849200.0,260437744.0,258007712.0,2.555870980052722,4.303712598585557,2017,81550955754739.3,7577110140,32.03224916478881,22.748397715886078,1.4594780452083342,0.9383930579535998,19.368500033912017,19.377874404031555
281,05-2018,03,989258797.0,1132429491.0,304370977.0,246158819.0,3.2501745296168627,3.7205567434900337,2018,86686870786621.5,7661177849,32.0933235555677,22.759431575066092,1.313873319315285,1.1787086963203497,19.321487491273995,19.53375783446532
282,05-2019,03,1233256650.0,1101849777.0,337379761.0,235560293.0,3.6553960627175854,3.265903602913513,2019,87945574337517.8,7742724795,32.107739265635864,22.770019503293934,1.1835364787769596,1.2962044492236522,19.277477459884327,19.636719741096165
283,05-2020,03,1122718775.0,863636650.0,364019398.0,195528244.0,3.0842278767792477,2.3725017258558294,2020,85577718250195.5,7821271846,32.08044606437664,22.78011301843261,0.8639449789435483,1.126301342977592,19.09121539754306,19.71271771538988
284,05-2021,03,1044187498.0,934953881.0,278926847.0,181289364.0,3.743589078035217,3.351968055624276,2021,97527032881901.1,7888963821,32.21115071583,22.788730635043017,1.2095476526294013,1.320044797793561,19.0156050088084,19.446460108273346
