time,code,IM_PQ,EX_PQ,IM_Q,EX_Q,IM_P,EX_P,year,fdi,gdp,pop,lgdp,lpop,lfdi,lexp,limp,lexq,limq
12-2018,01061910,230690.0,,130.0,,1774.5384615384614,,2018,13831000,919281.1,140541,13.731347230519434,11.853254540132857,16.442423007606845,,7.481295646429548,,4.867534450455582
12-2018,010511,,,,,,,2018,13831000,919281.1,140541,13.731347230519434,11.853254540132857,16.442423007606845,,,,
12-2018,010611,,,,,,,2018,13831000,919281.1,140541,13.731347230519434,11.853254540132857,16.442423007606845,,,,
12-2018,010619,230690.0,,130.0,,1774.5384615384614,,2018,13831000,919281.1,140541,13.731347230519434,11.853254540132857,16.442423007606845,,7.481295646429548,,4.867534450455582
12-2018,0105,,,,,,,2018,13831000,919281.1,140541,13.731347230519434,11.853254540132857,16.442423007606845,,,,
12-2018,0106,230690.0,,130.0,,1774.5384615384614,,2018,13831000,919281.1,140541,13.731347230519434,11.853254540132857,16.442423007606845,,7.481295646429548,,4.867534450455582
12-2018,01,230690.0,,130.0,,1774.5384615384614,,2018,13831000,919281.1,140541,13.731347230519434,11.853254540132857,16.442423007606845,,7.481295646429548,,4.867534450455582
12-2020,01051110,,,,,,,2020,14934000,1013567.0,141212,13.828986350237285,11.85801758626588,16.519151050577783,,,,
12-2020,01061110,,,,,,,2020,14934000,1013567.0,141212,13.828986350237285,11.85801758626588,16.519151050577783,,,,
12-2020,01061910,100000.0,,125.0,,800.0,,2020,14934000,1013567.0,141212,13.828986350237285,11.85801758626588,16.519151050577783,,6.684611727667927,,4.8283137373023015
12-2020,010511,,,,,,,2020,14934000,1013567.0,141212,13.828986350237285,11.85801758626588,16.519151050577783,,,,
12-2020,010611,,,,,,,2020,14934000,1013567.0,141212,13.828986350237285,11.85801758626588,16.519151050577783,,,,
12-2020,010619,100000.0,,125.0,,800.0,,2020,14934000,1013567.0,141212,13.828986350237285,11.85801758626588,16.519151050577783,,6.684611727667927,,4.8283137373023015
12-2020,0105,,,,,,,2020,14934000,1013567.0,141212,13.828986350237285,11.85801758626588,16.519151050577783,,,,
12-2020,0106,100000.0,,125.0,,800.0,,2020,14934000,1013567.0,141212,13.828986350237285,11.85801758626588,16.519151050577783,,6.684611727667927,,4.8283137373023015
12-2020,01,100000.0,,125.0,,800.0,,2020,14934000,1013567.0,141212,13.828986350237285,11.85801758626588,16.519151050577783,,6.684611727667927,,4.8283137373023015
